project_id,employee_id,start_date,end_date,project_status,department
110,314,2/1/2025,1/31/2026,Ongoing,Compliance
111,964,3/1/2025,2/28/2026,Ongoing,Engineering
111,517,3/1/2025,2/28/2026,Ongoing,Finance
111,68,3/1/2025,2/28/2026,Ongoing,IT
112,6,4/1/2025,3/31/2026,Ongoing,Engineering
112,806,4/1/2025,3/31/2026,Ongoing,Operations
112,308,4/1/2025,3/31/2026,Ongoing,IT
113,957,5/1/2025,4/30/2026,Ongoing,Engineering
113,510,5/1/2025,4/30/2026,Ongoing,IT
113,61,5/1/2025,4/30/2026,Ongoing,Marketing
114,10,6/1/2025,5/31/2026,Ongoing,Engineering
114,810,6/1/2025,5/31/2026,Ongoing,IT
114,311,6/1/2025,5/31/2026,Ongoing,Operations
115,985,7/1/2025,6/30/2026,Ongoing,Engineering
115,578,7/1/2025,6/30/2026,Ongoing,IT
115,147,7/1/2025,6/30/2026,Ongoing,HR
116,24,8/1/2024,7/31/2025,Ongoing,Engineering
116,824,8/1/2024,7/31/2025,Ongoing,Finance
116,325,8/1/2024,7/31/2025,Ongoing,Operations
117,975,9/1/2024,8/31/2025,Ongoing,Engineering
117,453,9/1/2024,8/31/2025,Ongoing,Finance
117,5,9/1/2024,8/31/2025,Ongoing,IT
118,990,10/1/2024,9/30/2025,Ongoing,Engineering
118,471,10/1/2024,9/30/2025,Ongoing,IT
118,22,10/1/2024,9/30/2025,Ongoing,Marketing
119,18,11/1/2024,10/31/2025,Ongoing,Engineering
119,818,11/1/2024,10/31/2025,Ongoing,HR
